P	k=6,s<3	k=6,s<2	k=6,s<1	k=7,s<3	k=7,s<2	k=7,s<1	k=8,s<3	k=8,s<2	k=8,s<1
0	176	32361	596723	238424	613650	821660	697014	773338	863313
1	881	80556	183952	253469	144411	64852	97778	78001	43649
2	3288	155700	61735	156825	54436	23995	48321	32673	14894
3	10428	201294	34329	86193	33973	11494	31984	17986	7851
4	30087	160499	23667	54635	25731	6746	18971	10248	4957
5	75749	102780	16448	42049	20254	4815	11228	6812	3505
6	164865	65536	10358	35777	15563	3601	8132	5431	2671
7	209082	43764	6019	26778	10621	2712	6629	4447	2060
8	164943	32869	4061	16298	6928	2210	5307	3714	1846
9	112885	24363	3099	9604	5126	2074	4194	3373	1825
10	76125	17691	3109	6782	4403	2419	4112	3544	2332
11	46548	11841	3756	6209	5004	3216	5039	4533	2742
12	26619	10773	4365	8843	7432	3321	8038	6466	2305
13	17847	8545	1130	8189	4681	423	5692	2929	157
14	7357	2600	208	2022	840	96	1034	420	38
15	3795	1264	123	1031	417	37	460	153	9
16	1622	448	26	334	126	12	124	54	7
17	473	132	18	110	61	11	58	30	8
18	208	76	7	84	28	0	44	14	0
19	118	32	0	34	8	0	9	2	0
20	32	7	0	2	1	2	0	1	0
21	3	2	0	2	0	0	1	0	0
22	1	0	0	2	2	0	0	0	0
23	1	0	0	0	0	0	0	0	0
